season,player_id,player_name,position,team,offense_snaps,contract_match_quality,contract_match_score,exclusion_reason
2024,00-0039650,Bryce Oliver,WR,TEN,67.0,exact,100.0,low_sample
2024,00-0038840,Brycen Tremayne,WR,WAS,21.0,exact,100.0,low_sample
2024,00-0032918,C.J. Ham,RB,MIN,,fuzzy_low,85.5,low_sample
2024,00-0039631,Cam Grandy,TE,CIN,75.0,exact,100.0,low_sample
2024,00-0032950,Carson Wentz,QB,KC,38.0,exact,100.0,low_sample
2024,00-0039394,Casey Washington,WR,ATL,9.0,exact,100.0,low_sample
2024,00-0038576,Charlie Jones,WR,CIN,26.0,exact,100.0,low_sample
2024,00-0037809,Chig Okonkwo,TE,TEN,,fuzzy_low,82.75862068965517,low_sample
2024,00-0036463,Chris Blair,WR,ATL,27.0,exact,100.0,low_sample
2024,00-0039244,Chris Collier,RB,LV,19.0,exact,100.0,low_sample
2024,00-0037324,Chris Oladokun,QB,KC,5.0,exact,100.0,low_sample
2024,00-0038611,Chris Rodriguez Jr.,RB,WAS,77.0,exact,100.0,low_sample
2024,00-0038582,Clayton Tune,QB,ARI,31.0,no_match,60.86956521739131,low_sample
2024,00-0036360,Clyde Edwards-Helaire,RB,NO,44.0,no_match,52.5,low_sample
2024,00-0039703,Cody Schrader,RB,LA,2.0,exact,100.0,low_sample
2024,00-0035891,Cody White,WR,SEA,62.0,exact,100.0,low_sample
2024,00-0036254,Collin Johnson,WR,CHI,32.0,no_match,77.41935483870968,low_sample
2024,00-0035567,Craig Reynolds,RB,DET,97.0,no_match,50.0,low_sample
2024,00-0039613,Dallin Holker,TE,NO,73.0,no_match,61.53846153846154,low_sample
2024,00-0033893,Dalvin Cook,RB,DAL,24.0,no_match,63.63636363636363,low_sample
2024,00-0035976,Dan Chisena,WR,CAR,19.0,exact,100.0,low_sample
2024,00-0037093,Dareke Young,WR,SEA,27.0,exact,100.0,low_sample
2024,00-0036297,Darrynton Evans,RB,CHI,4.0,no_match,57.14285714285714,low_sample
2024,00-0037257,David Bell,WR,CLE,9.0,no_match,76.19047619047619,low_sample
2024,00-0039648,David Martin-Robinson,TE,TEN,46.0,exact,100.0,low_sample
2024,00-0036898,Davis Mills,QB,HOU,72.0,exact,100.0,low_sample
2024,00-0036620,Dee Eskridge,WR,MIA,,no_match,55.38461538461539,low_sample
2024,00-0036425,DeeJay Dallas,RB,ARI,54.0,exact,100.0,low_sample
2024,00-0038622,Deuce Vaughn,RB,DAL,52.0,no_match,55.172413793103445,low_sample
2024,00-0037487,Deven Thompkins,WR,CAR,51.0,no_match,66.66666666666667,low_sample
2024,00-0039754,Devin Culp,TE,TB,41.0,exact,100.0,low_sample
2024,00-0039792,Devontez Walker,WR,BAL,60.0,exact,100.0,low_sample
2024,00-0039407,Dylan Laube,RB,LV,2.0,exact,100.0,low_sample
2024,00-0038092,Erik Ezukanma,WR,MIA,18.0,no_match,56.00000000000001,low_sample
2024,00-0036825,Feleipe Franks,TE,CAR,45.0,exact,100.0,low_sample
2024,00-0036196,Gabe Davis,WR,JAX,,no_match,63.63636363636363,low_sample
2024,00-0039299,George Holani,RB,SEA,5.0,exact,100.0,low_sample
2024,00-0038507,Grant DuBose,WR,MIA,50.0,no_match,52.17391304347826,low_sample
2024,00-0038550,Hendon Hooker,QB,DET,33.0,exact,100.0,low_sample
2024,00-0038738,Hunter Luepke,RB,DAL,30.0,exact,100.0,low_sample
2024,00-0034365,Ian Thomas,TE,CAR,94.0,exact,100.0,low_sample
2024,00-0036635,Ihmir Smith-Marsette,WR,NYG,7.0,exact,100.0,low_sample
2024,00-0037156,Irvin Charles,WR,NYJ,10.0,exact,100.0,low_sample
2024,00-0036165,Isaiah Hodgins,WR,NYG,63.0,exact,100.0,low_sample
2024,00-0039451,Isaiah Williams,WR,CIN,27.0,exact,100.0,low_sample
2024,00-0036096,J.J. Taylor,RB,HOU,33.0,fuzzy_low,85.5,low_sample
2024,00-0039617,Jacob Kibodi,RB,CLE,17.0,no_match,57.82608695652174,low_sample
2024,00-0036877,Jaelon Darden,WR,SEA,22.0,no_match,61.53846153846154,low_sample
2024,00-0039420,Jaheim Bell,TE,NE,83.0,exact,100.0,low_sample
2024,00-0035100,Jake Browning,QB,CIN,5.0,exact,100.0,low_sample
2024,00-0038998,Jake Haener,QB,NO,82.0,no_match,57.14285714285714,low_sample
2024,00-0036133,James Proche,WR,CLE,16.0,no_match,69.56521739130434,low_sample
2024,00-0039824,Jared Wiley,TE,KC,94.0,exact,100.0,low_sample
2024,00-0035264,Jarrett Stidham,QB,DEN,14.0,exact,100.0,low_sample
2024,00-0039393,Jase McClellan,RB,ATL,19.0,no_match,62.06896551724138,low_sample
2024,00-0039853,Javon Baker,WR,NE,90.0,no_match,63.63636363636363,low_sample
2024,00-0034115,Jeff Wilson,RB,MIA,71.0,no_match,67.05882352941177,low_sample
2024,00-0039614,Jermaine Jackson,WR,NO,4.0,no_match,73.33333333333334,low_sample
2024,00-0036670,Jermar Jefferson,RB,DET,12.0,no_match,58.06451612903225,low_sample
2024,00-0039392,Jha'Quan Jackson,WR,TEN,46.0,exact,100.0,low_sample
2024,00-0031345,Jimmy Garoppolo,QB,LA,66.0,no_match,46.15384615384615,low_sample
2024,00-0039398,Joe Milton III,QB,NE,61.0,exact,100.0,low_sample
2024,00-0037306,John FitzPatrick,TE,GB,74.0,fuzzy_low,85.5,low_sample
2024,00-0033460,John Ross,WR,PHI,12.0,no_match,66.66666666666667,low_sample
2024,00-0038920,John Shenker,TE,LV,,fuzzy_low,85.5,low_sample
2024,00-0035924,Jonathan Ward,RB,PIT,10.0,no_match,78.57142857142857,low_sample
2024,00-0039344,Jonathon Brooks,RB,CAR,23.0,exact,100.0,low_sample
2024,00-0031299,Jordan Matthews,TE,CAR,26.0,no_match,64.0,low_sample
2024,00-0035547,Joseph Fortson,TE,KC,,no_match,62.06896551724138,low_sample
2024,00-0026300,Josh Johnson,QB,BAL,36.0,exact,100.0,low_sample
2024,00-0033949,Joshua Dobbs,QB,SF,81.0,no_match,58.33333333333333,low_sample
2024,00-0036370,Joshua Kelley,RB,TEN,4.0,no_match,59.99999999999999,low_sample
2024,00-0036332,Josiah Deguara,TE,JAX,87.0,no_match,60.86956521739131,low_sample
2024,00-0037594,Julius Chestnut,RB,TEN,84.0,exact,100.0,low_sample
2024,00-0037216,Justyn Ross,WR,KC,14.0,no_match,63.33333333333332,low_sample
2024,00-0036913,Kadarius Toney,WR,CLE,17.0,no_match,71.42857142857143,low_sample
2024,00-0039589,Kameron Johnson,WR,TB,47.0,exact,100.0,low_sample
2024,00-0036450,Ke'Shawn Vaughn,RB,SF,3.0,no_match,48.275862068965516,low_sample
2024,00-0038454,Keaton Mitchell,RB,BAL,36.0,exact,100.0,low_sample
2024,00-0037422,Kendric Pryor,WR,CIN,19.0,exact,100.0,low_sample
2024,00-0036842,Kene Nwangwu,RB,NYJ,1.0,exact,100.0,low_sample
2024,00-0038636,Kenny McIntosh,RB,SEA,75.0,exact,100.0,low_sample
2024,00-0036183,Kristian Wilkerson,WR,LV,45.0,no_match,70.58823529411764,low_sample
2024,00-0034577,Kyle Allen,QB,PIT,2.0,exact,100.0,low_sample
2024,00-0029892,Kyle Juszczyk,RB,SF,,no_match,46.15384615384615,low_sample
2024,00-0036928,Kyle Trask,QB,TB,19.0,no_match,63.63636363636363,low_sample
2024,00-0036268,Laviska Shenault Jr.,WR,LAC,52.0,no_match,55.172413793103445,low_sample
2024,00-0039920,Malachi Corley,WR,NYJ,83.0,exact,100.0,low_sample
2024,00-0039811,MarShawn Lloyd,RB,GB,10.0,exact,100.0,low_sample
2024,00-0036176,Mason Kinsey,WR,TEN,71.0,exact,100.0,low_sample
2024,00-0031595,Michael Burton,RB,DEN,,no_match,72.0,low_sample
2024,00-0034208,Mike Boone,RB,CAR,43.0,fuzzy_low,85.5,low_sample
2024,00-0034401,Mike White,QB,BUF,20.0,no_match,54.54545454545454,low_sample
2024,00-0037300,Mike Woods,WR,CLE,,no_match,78.26086956521739,low_sample
2024,00-0035311,Myles Gaskin,RB,JAX,7.0,no_match,60.86956521739131,low_sample
2024,00-0033319,Nick Mullens,QB,MIN,7.0,exact,100.0,low_sample
2024,00-0038519,Nikko Remigio,WR,KC,42.0,exact,100.0,low_sample
2024,00-0033376,Patrick Ricard,RB,BAL,,no_match,71.42857142857143,low_sample
2024,00-0037569,Peyton Hendershot,TE,KC,86.0,no_match,54.54545454545454,low_sample
2024,00-0037429,Raheem Blackshear,RB,CAR,61.0,no_match,63.0,low_sample
2024,00-0039543,Ramel Keyton,WR,LV,44.0,no_match,67.5,low_sample
2024,00-0039796,Rasheen Ali,RB,BAL,29.0,exact,100.0,low_sample
2024,00-0036187,Reggie Gilliam,RB,BUF,,no_match,64.28571428571428,low_sample
2024,00-0032688,Robbie Chosen,WR,MIA,29.0,no_match,65.76923076923076,low_sample
2024,00-0037557,Ronnie Rivers,RB,LA,88.0,exact,100.0,low_sample
2024,00-0037077,Sam Howell,QB,SEA,25.0,exact,100.0,low_sample
2024,00-0038614,Scott Matlock,RB,LAC,,no_match,67.85714285714286,low_sample
2024,00-0037509,Sincere McCormick,RB,LV,89.0,exact,100.0,low_sample
2024,00-0039364,Sione Vaki,RB,DET,26.0,exact,100.0,low_sample
2024,00-0037327,Skylar Thompson,QB,MIA,58.0,exact,100.0,low_sample
2024,00-0038090,Skyy Moore,WR,KC,82.0,exact,100.0,low_sample
2024,00-0036438,Stephen Sullivan,TE,CAR,8.0,no_match,64.51612903225806,low_sample
2024,00-0034928,Steven Sims,WR,BAL,29.0,no_match,54.54545454545454,low_sample
2024,00-0037348,Tanner Conner,WR,MIA,25.0,exact,100.0,low_sample
2024,00-0038400,Tanner McKee,QB,PHI,89.0,exact,100.0,low_sample
2024,00-0037524,Tay Martin,WR,TEN,4.0,no_match,66.66666666666667,low_sample
2024,00-0031800,Taylor Heinicke,QB,LAC,22.0,no_match,63.33333333333332,low_sample
2024,00-0039757,Terrell Jennings,RB,NE,38.0,exact,100.0,low_sample
2024,00-0034177,Tim Boyle,QB,NYG,85.0,no_match,50.0,low_sample
2024,00-0035544,Tom Kennedy,WR,DET,16.0,exact,100.0,low_sample
2024,00-0038476,Tommy DeVito,QB,NYG,91.0,exact,100.0,low_sample
2024,00-0035860,Tony Jones,RB,ARI,5.0,no_match,76.19047619047619,low_sample
2024,00-0035594,Travis Homer,RB,CHI,75.0,exact,100.0,low_sample
2024,00-0033292,Trent Taylor,WR,SF,14.0,no_match,60.86956521739131,low_sample
2024,00-0037012,Trey Lance,QB,DAL,98.0,exact,100.0,low_sample
2024,00-0037085,Tyler Badie,RB,DEN,24.0,exact,100.0,low_sample
2024,00-0038941,Tyler Scott,WR,CHI,20.0,exact,100.0,low_sample
2024,00-0037450,Tyreik McAllister,RB,LV,4.0,no_match,64.51612903225806,low_sample
2024,00-0038679,Tyrell Shavers,WR,BUF,32.0,exact,100.0,low_sample
2024,00-0037827,Tyrion Davis-Price,RB,PHI,5.0,no_match,64.125,low_sample
2024,00-0028118,Tyrod Taylor,QB,NYJ,36.0,exact,100.0,low_sample
2024,00-0038416,Tyson Bagent,QB,CHI,13.0,exact,100.0,low_sample
2024,00-0037745,Velus Jones Jr.,RB,CAR,7.0,exact,100.0,low_sample
2024,00-0038394,Will Mallory,TE,IND,93.0,exact,100.0,low_sample
2024,00-0039746,Will Shipley,RB,PHI,75.0,exact,100.0,low_sample
2024,00-0038359,Xavier Smith,WR,LA,35.0,exact,100.0,low_sample
2024,00-0039521,Xavier Weaver,WR,ARI,57.0,exact,100.0,low_sample
2024,00-0036640,Zach Davidson,TE,BUF,42.0,no_match,58.33333333333333,low_sample
2024,00-0030035,Adam Thielen,WR,CAR,429.0,no_match,60.86956521739131,no_contract_match
2024,00-0034972,Alexander Mattison,RB,LV,444.0,no_match,62.06896551724138,no_contract_match
2024,00-0034521,Allen Lazard,WR,NYJ,649.0,no_match,59.375,no_contract_match
2024,00-0036328,Antonio Gibson,RB,NE,359.0,no_match,58.06451612903225,no_contract_match
2024,00-0033699,Austin Ekeler,RB,WAS,518.0,no_match,61.53846153846154,no_contract_match
2024,00-0031236,Brandin Cooks,WR,DAL,471.0,no_match,64.28571428571428,no_contract_match
2024,00-0034646,Brandon Powell,WR,MIN,217.0,no_match,66.5,no_contract_match
2024,00-0036414,Cam Akers,RB,MIN,294.0,no_match,60.86956521739131,no_contract_match
2024,00-0032128,Chris Conley,WR,SF,239.0,no_match,78.26086956521739,no_contract_match
2024,00-0033662,Cooper Rush,QB,DAL,572.0,no_match,43.47826086956522,no_contract_match
2024,00-0030578,Cordarrelle Patterson,RB,PIT,110.0,no_match,72.22222222222221,no_contract_match
2024,00-0033282,Curtis Samuel,WR,BUF,441.0,no_match,60.86956521739131,no_contract_match
2024,00-0033925,D'Onta Foreman,RB,CLE,195.0,no_match,69.23076923076923,no_contract_match
2024,00-0034777,DJ Chark,WR,LAC,132.0,no_match,60.00000000000001,no_contract_match
2024,00-0036527,DJ Turner,WR,LV,358.0,no_match,76.0,no_contract_match
2024,00-0034860,Dante Pettis,WR,NO,148.0,no_match,67.5,no_contract_match
2024,00-0033854,Dare Ogunbowale,RB,HOU,346.0,no_match,51.15384615384615,no_contract_match
2024,00-0031763,DeAndre Carter,WR,CHI,137.0,no_match,66.66666666666667,no_contract_match
2024,00-0030564,DeAndre Hopkins,WR,KC,582.0,no_match,62.06896551724138,no_contract_match
2024,00-0035719,Deebo Samuel Sr.,WR,SF,682.0,no_match,57.14285714285714,no_contract_match
2024,00-0031280,Derek Carr,QB,NO,604.0,no_match,60.0,no_contract_match
2024,00-0038122,Desmond Ridder,QB,LV,132.0,no_match,56.29629629629629,no_contract_match
2024,00-0035216,Diontae Johnson,WR,HOU,414.0,no_match,76.92307692307692,no_contract_match
2024,00-0038583,Dorian Thompson-Robinson,QB,CLE,208.0,no_match,60.00000000000001,no_contract_match
2024,00-0039041,Elijah Higgins,TE,ARI,411.0,no_match,59.99999999999999,no_contract_match
2024,00-0031690,Eric Tomlinson,TE,LAC,133.0,no_match,64.28571428571429,no_contract_match
2024,00-0033045,Ezekiel Elliott,RB,LAC,258.0,no_match,48.275862068965516,no_contract_match
2024,00-0032141,Geoff Swaim,TE,CLE,140.0,no_match,52.63157894736843,no_contract_match
2024,00-0033895,Gerald Everett,TE,CHI,246.0,no_match,51.42857142857142,no_contract_match
2024,00-0034184,Gus Edwards,RB,LAC,231.0,no_match,73.88888888888889,no_contract_match
2024,00-0037617,Hassan Haskins,RB,LAC,147.0,no_match,53.84615384615385,no_contract_match
2024,00-0034830,Hayden Hurst,TE,LAC,174.0,no_match,66.66666666666667,no_contract_match
2024,00-0035806,JaMycal Hasty,RB,NE,107.0,no_match,72.0,no_contract_match
2024,00-0033948,Jamaal Williams,RB,NO,178.0,no_match,72.38095238095238,no_contract_match
2024,00-0031941,Jamison Crowder,WR,WAS,182.0,no_match,68.96551724137932,no_contract_match
2024,00-0039810,Jermaine Burton,WR,CIN,131.0,no_match,63.52941176470588,no_contract_match
2024,00-0033897,Joe Mixon,RB,HOU,645.0,no_match,70.0,no_contract_match
2024,00-0033858,Jonnu Smith,TE,MIA,626.0,no_match,63.0,no_contract_match
2024,00-0034364,Jordan Akins,TE,CLE,456.0,no_match,68.39999999999999,no_contract_match
2024,00-0038678,Jordan Mims,RB,NO,105.0,no_match,78.26086956521739,no_contract_match
2024,00-0033943,Josh Reynolds,WR,JAX,312.0,no_match,60.86956521739131,no_contract_match
2024,00-0033923,Kareem Hunt,RB,KC,550.0,no_match,64.0,no_contract_match
2024,00-0030279,Keenan Allen,WR,CHI,850.0,no_match,64.0,no_contract_match
2024,00-0036510,Kenny Yeboah,TE,NYJ,106.0,no_match,61.53846153846154,no_contract_match
2024,00-0034854,KhaDarel Hodge,WR,ATL,231.0,no_match,57.14285714285714,no_contract_match
2024,00-0036906,Khalil Herbert,RB,CIN,139.0,no_match,53.2,no_contract_match
2024,00-0038465,Malik Heath,WR,GB,190.0,no_match,69.56521739130434,no_contract_match
2024,00-0024243,Marcedes Lewis,TE,CHI,220.0,no_match,56.00000000000001,no_contract_match
2024,00-0035243,Miles Sanders,RB,CAR,224.0,no_match,66.66666666666667,no_contract_match
2024,00-0031585,MyCole Pruitt,TE,PIT,282.0,no_match,69.56521739130434,no_contract_match
2024,00-0036893,Najee Harris,RB,PIT,590.0,no_match,60.86956521739131,no_contract_match
2024,00-0031549,Nelson Agholor,WR,BAL,466.0,no_match,57.0,no_contract_match
2024,00-0034791,Nick Chubb,RB,CLE,235.0,no_match,54.285714285714285,no_contract_match
2024,00-0032394,Nick Vannett,TE,TEN,399.0,no_match,56.00000000000001,no_contract_match
2024,00-0035639,Parris Campbell,WR,PHI,164.0,no_match,66.08695652173913,no_contract_match
2024,00-0033439,Pharaoh Brown,TE,SEA,264.0,no_match,57.14285714285714,no_contract_match
2024,00-0031687,Raheem Mostert,RB,MIA,278.0,no_match,64.28571428571428,no_contract_match
2024,00-0038821,Rakim Jarrett,WR,TB,217.0,no_match,56.29629629629629,no_contract_match
2024,00-0034407,Ray-Ray McCloud,WR,ATL,981.0,no_match,57.14285714285714,no_contract_match
2024,00-0034054,River Cracraft,WR,MIA,120.0,no_match,60.8,no_contract_match
2024,00-0030431,Robert Woods,WR,HOU,404.0,no_match,56.00000000000001,no_contract_match
2024,00-0034073,Ross Dwelley,TE,ATL,105.0,no_match,54.54545454545454,no_contract_match
2024,00-0029263,Russell Wilson,QB,PIT,763.0,no_match,67.05882352941177,no_contract_match
2024,00-0031588,Stefon Diggs,WR,HOU,431.0,no_match,60.86956521739131,no_contract_match
2024,00-0032385,Sterling Shepard,WR,TB,536.0,no_match,62.06896551724138,no_contract_match
2024,00-0033357,Taysom Hill,TE,NO,225.0,no_match,54.54545454545454,no_contract_match
2024,00-0035341,Trenton Irwin,WR,CAR,125.0,no_match,57.14285714285714,no_contract_match
2024,00-0036984,Trey Sermon,RB,IND,245.0,no_match,72.72727272727273,no_contract_match
2024,00-0037654,Tucker Fisk,TE,LAC,218.0,no_match,69.56521739130434,no_contract_match
2024,00-0033009,Tyler Boyd,WR,TEN,635.0,no_match,66.66666666666667,no_contract_match
2024,00-0032211,Tyler Lockett,WR,SEA,765.0,no_match,75.0,no_contract_match
2024,00-0033040,Tyreek Hill,WR,MIA,906.0,no_match,57.14285714285714,no_contract_match
2024,00-0034159,Will Dissly,TE,LAC,579.0,no_match,60.86956521739131,no_contract_match
2024,00-0030061,Zach Ertz,TE,WAS,931.0,no_match,70.0,no_contract_match
2024,00-0036251,Zack Moss,RB,CIN,297.0,no_match,51.42857142857142,no_contract_match
2024,00-0038040,Zamir White,RB,LV,154.0,no_match,59.375,no_contract_match
2024,00-0033891,Zay Jones,WR,ARI,257.0,no_match,76.19047619047619,no_contract_match
